"","category","timePeriod","duration","definition","caption","madeForKids","views","likes","comments","viewsQuartile3","likesQuartile3","commentsQuartile3","likesQuartile9","commentsQuartile9","publishedAtMonth","publishedAtDay","publishedAtYear","age"
"468","entertainment","after",1287,"hd","True","True",15.4256762055349,9.56240470335723,0,"3",2,1,"7","7",1,15,2022,15.7051216717073
"469","education","after",189,"hd","False","True",17.7965111920965,12.4903225849457,0,"3",3,1,"8","7",1,25,2022,15.5689147794158
"470","comedy","during",157,"hd","True","False",17.0612399369548,14.4377018701905,11.0628185762389,"3",3,3,"9","9",9,29,2020,17.6766656942882
"471","comedy","after",411,"hd","True","False",15.3670029939647,11.5221923940408,8.86573515212478,"3",3,3,"7","8",11,7,2021,16.3501454238769
"472","news/politics","before",575,"hd","False","False",15.1092059605955,10.6020202053724,8.73648935100155,"3",2,3,"7","8",2,3,2019,18.4173102803159
"473","music","before",228,"hd","False","False",19.5988919002731,14.787407032241,10.9100759223911,"3",3,3,"9","9",6,28,2019,18.2833340250754
"474","education","after",184,"hd","False","True",16.4262731988668,11.2292221334873,0,"3",3,1,"7","7",2,15,2022,15.1917528155523
"475","music","during",202,"hd","True","False",16.9899208419849,12.3323087420753,8.82981174915805,"3",3,3,"8","8",9,24,2020,17.6860111152785
"476","comedy","during",391,"hd","True","False",16.2081373402437,13.7938588421572,10.1397842210953,"3",3,3,"9","9",10,1,2020,17.6729929812157
"477","comedy","after",266,"hd","True","False",15.3662053898724,11.6764548837517,8.09468364869882,"3",3,3,"7","8",12,12,2021,16.0749195334971
"478","music","during",182,"hd","False","False",16.2716519255904,12.210378362612,9.72740648333163,"3",3,3,"8","9",6,4,2021,17.0771695505947
"479","music","before",197,"hd","False","False",16.2771862805458,12.3942934342551,9.65245879773238,"3",3,3,"8","9",6,12,2019,18.299032297211
"480","music","during",188,"hd","True","False",17.079808557879,13.0586501156465,9.41784222730043,"3",3,3,"9","9",6,11,2021,17.0537179580246
"481","comedy","after",232,"hd","True","False",14.9311258068816,10.9143427316798,7.15851399732932,"3",3,2,"7","7",10,10,2021,16.52553653926
"482","music","during",174,"hd","False","False",16.6909234884017,12.3142721275069,9.24377514806242,"3",3,3,"8","8",5,29,2020,17.8784882844369
"483","music","during",186,"hd","False","False",16.2303998831209,11.9526180716276,8.2553088117856,"3",3,3,"8","8",4,22,2021,17.2095613971492
"484","music","after",187,"hd","True","False",17.3565380535909,13.3806902718817,9.81803859070365,"3",3,3,"9","9",2,11,2022,15.2820877517715
"485","comedy","before",366,"hd","True","False",15.7023372987089,11.8005750368939,8.04590874227078,"3",3,3,"8","8",5,1,2019,18.3393263505618
"486","news/politics","after",595,"hd","False","False",15.0991435352682,10.9362805001669,8.48817624234574,"3",3,3,"7","8",10,31,2021,16.3943990815062
"487","comedy","before",329,"hd","True","False",17.837484944881,14.7008260729551,11.6054681825174,"3",3,3,"9","9",2,25,2020,18.0091484023505
"488","music","during",250,"hd","True","False",15.1707205162055,10.61243426063,7.83913164827433,"3",2,3,"7","7",11,30,2020,17.5557767783471
"489","music","before",241,"hd","True","False",18.8129152726699,14.542755254331,11.6059421075367,"3",3,3,"9","9",5,31,2019,18.3108317144152
"490","music","before",282,"hd","False","False",16.1425751676746,11.5360167961936,7.64491934495886,"3",3,3,"7","7",3,19,2019,18.378370048116
"491","comedy","before",422,"hd","True","False",15.4893206026941,11.6319699269161,7.64491934495886,"3",3,3,"7","7",5,3,2019,18.3374666318545
"492","comedy","before",256,"hd","True","False",16.746167419614,12.8246417434518,8.77539495854551,"3",3,3,"9","8",12,6,2019,18.1095585252467
"493","comedy","before",493,"hd","True","False",16.6701975660362,12.8216636078712,8.7662383802531,"3",3,3,"8","8",3,1,2019,18.3949108337853
"494","comedy","during",254,"hd","True","False",16.0004345703651,12.3354020973536,9.18039649560311,"3",3,3,"8","8",6,27,2020,17.8334036631902
"495","music","after",180,"hd","False","False",16.7629296710645,14.1226643206056,10.9841225469736,"3",3,3,"9","9",8,2,2021,16.8565410487887
"496","comedy","during",195,"hd","True","False",14.9110768790462,11.8852197888099,8.61268517287546,"3",3,3,"8","8",5,19,2021,17.1287003210984
"497","music","after",189,"hd","False","False",15.0109137478093,11.2247365974529,7.9291264873068,"3",3,3,"7","7",10,29,2021,16.410158663065
"498","comedy","before",152,"hd","True","False",15.8685121238034,11.8051173528998,7.8164169836918,"3",3,3,"8","7",12,19,2019,18.094257704584
"499","comedy","after",279,"hd","True","False",14.7828947042513,10.806794356852,7.58731050602262,"3",3,3,"7","7",10,24,2021,16.441587505755
"500","comedy","before",191,"hd","True","False",14.9703799840744,12.1064346140716,8.35208267135264,"3",3,3,"8","8",12,13,2019,18.100987511219
"501","comedy","before",244,"hd","True","False",16.5428463246047,13.7713475718753,10.1631558785327,"3",3,3,"9","9",2,25,2020,18.0091667984579
"502","music","during",199,"hd","True","False",18.4916659840209,14.0161925260902,10.6589990172926,"3",3,3,"9","9",12,21,2020,17.5124467690733
"503","music","after",221,"hd","False","False",16.7256803679828,13.3317746713884,9.98252975987608,"3",3,3,"9","9",9,17,2021,16.6461180980958
"504","education","during",227,"hd","False","True",17.6155522004389,12.2851980094957,0,"3",3,1,"8","7",10,20,2020,17.6374947355674
